id,council_ref,council_name,reference,description,address,postcode,status,app_type,date_received,date_validated,date_decided,lat,lng,portal_url,application_url,scraped_at
E60000071_TCT82YJBGNS00,E60000071,Leeds,"Certificate of Proposed Lawful Development for an extension to the gable, dormer window to the rear ",,22 King Alfreds Walk Meanwood Leeds LS6 4PY,LS6 4PY,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCT82YJBGNS00,2026-05-01T22:41:59.257852
E60000071_TCSX83JBGKG00,E60000071,Leeds,"Conversion of integrated garage to form habitable space at front; part first floor side extension, s",,2 Parkwood Gardens Gledhow Leeds LS8 1JR,LS8 1JR,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSX83JBGKG00,2026-05-01T22:41:59.148198
E60000071_TCSX8JJBGKI00,E60000071,Leeds,To carry out all works outlined within the attached Tree Survey. The works to the roadside trees has,,Park Side Moor Road Bramhope Leeds LS16 9HH,LS16 9HH,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSX8JJBGKI00,2026-05-01T22:41:59.038659
E60000071_TCT5K8JB0C000,E60000071,Leeds,Conversion of integrated garage at front to form habitable space; new ground floor window to side,,16 Burr Tree Drive Colton Leeds LS15 9ED,LS15 9ED,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCT5K8JB0C000,2026-05-01T22:41:58.930038
E60000071_TCSWW5JBGJO00,E60000071,Leeds,Certificate of Existing Lawful Development for Use as a house in multiple occupation,,8 Regent Terrace Hyde Park Leeds LS6 1NP,LS6 1NP,,,,,,53.808667,-1.568299,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSWW5JBGJO00,2026-05-01T22:41:58.818224
E60000071_TCSWYOJBGJU00,E60000071,Leeds,Certificate of Existing Lawful Development for Use as a house in multiple occupation,,18 Hessle Avenue Hyde Park Leeds LS6 1EF,LS6 1EF,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSWYOJBGJU00,2026-05-01T22:41:58.698748
E60000071_TCSWZIJBGJW00,E60000071,Leeds,Listed building application for Installation of new Air Handling Unit (AHU) with associated plant eq,,Spire Leeds Hospital Jackson Avenue Gledhow Leeds LS8 1NT,LS8 1NT,,,,,,53.832485,-1.513933,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSWZIJBGJW00,2026-05-01T22:41:58.587605
E60000071_TCSX04JBGJY00,E60000071,Leeds,Certificate of Existing Lawful Development for Use as a house in multiple occupation,,18 Welton Mount Hyde Park Leeds LS6 1ET,LS6 1ET,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSX04JBGJY00,2026-05-01T22:41:58.470192
E60000071_TCTDIIJBGPQ00,E60000071,Leeds,"Removal of old porch to replace with new proch to front; part two storey, part single storey side/re",,1 Chapel Yard Oulton Leeds LS26 8JG,LS26 8JG,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCTDIIJBGPQ00,2026-05-01T22:41:58.113894
E60000071_TCTDJKJBGPW00,E60000071,Leeds,Relocate entrance door from side elevation of existing porch to front; remove existing white UPVC cl,,3 Gladstone Terrace Stanningley Pudsey LS28 6NE,LS28 6NE,,,,,,53.80764,-1.653546,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCTDJKJBGPW00,2026-05-01T22:41:57.937551
E60000071_TCSWXJJBGJS00,E60000071,Leeds,Installation of new Air Handling Unit (AHU) with associated plant equipment and ductwork and new can,,Spire Leeds Hospital Jackson Avenue Gledhow Leeds LS8 1NT,LS8 1NT,,,,,,53.832485,-1.513933,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCSWXJJBGJS00,2026-05-01T22:41:53.539216
E60000071_TCT804JBGNL00,E60000071,Leeds,"Raising the roof height forming a new floor, dormer window to rear with juliette balcony and roof li",,11 Birchfield Avenue Gildersome Morley Leeds LS27 7HU,LS27 7HU,,,,,,53.755974,-1.634541,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TCT804JBGNL00,2026-05-01T22:41:53.437603
