reference,name,website,portal_url,platform,scanned_at
E60000001,County Durham LPA,https://www.county-durham-lpa.gov.uk,https://www.county-durham-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:46.214829
E60000002,Darlington LPA,https://www.darlington-lpa.gov.uk,https://www.darlington-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:47.926019
E60000003,Hartlepool LPA,https://www.hartlepool-lpa.gov.uk,https://www.hartlepool-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:49.697485
E60000004,Middlesbrough LPA,https://www.middlesbrough-lpa.gov.uk,https://www.middlesbrough-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:51.451416
E60000005,Northumberland LPA,https://www.northumberland-lpa.gov.uk,https://www.northumberland-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:53.183602
E60000006,Redcar and Cleveland LPA,https://www.redcar-and-cleveland-lpa.gov.uk,https://www.redcar-and-cleveland-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:54.886492
E60000007,Stockton-on-Tees LPA,https://www.stockton-on-tees-lpa.gov.uk,https://www.stockton-on-tees-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:56.581926
E60000008,Gateshead LPA,https://www.gateshead-lpa.gov.uk,https://www.gateshead-lpa.gov.uk,Unknown/Custom,2026-04-30T21:06:58.316768
E60000009,Newcastle upon Tyne LPA,https://www.newcastle-upon-tyne-lpa.gov.uk,https://www.newcastle-upon-tyne-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:00.032400
E60000010,North Tyneside LPA,https://www.north-tyneside-lpa.gov.uk,https://www.north-tyneside-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:01.754890
E60000011,South Tyneside LPA,https://www.south-tyneside-lpa.gov.uk,https://www.south-tyneside-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:03.499537
E60000012,Sunderland LPA,https://www.sunderland-lpa.gov.uk,https://www.sunderland-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:05.168665
E60000013,Blackburn with Darwen LPA,https://www.blackburn-with-darwen-lpa.gov.uk,https://www.blackburn-with-darwen-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:06.861208
E60000014,Blackpool LPA,https://www.blackpool-lpa.gov.uk,https://www.blackpool-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:08.589038
E60000015,Cheshire East LPA,https://www.cheshire-east-lpa.gov.uk,https://www.cheshire-east-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:10.361211
E60000016,Cheshire West and Chester LPA,https://www.cheshire-west-and-chester-lpa.gov.uk,https://www.cheshire-west-and-chester-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:12.080929
E60000017,Halton LPA,https://www.halton-lpa.gov.uk,https://www.halton-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:13.787334
E60000018,Warrington LPA,https://www.warrington-lpa.gov.uk,https://www.warrington-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:15.602916
E60000019,Allerdale LPA,https://www.allerdale-lpa.gov.uk,https://www.allerdale-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:17.297767
E60000020,Barrow-in-Furness LPA,https://www.barrow-in-furness-lpa.gov.uk,https://www.barrow-in-furness-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:19.072893
E60000021,Carlisle LPA,https://www.carlisle-lpa.gov.uk,https://www.carlisle-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:20.749545
E60000022,Copeland LPA,https://www.copeland-lpa.gov.uk,https://www.copeland-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:22.468180
E60000023,Eden LPA,https://www.eden-lpa.gov.uk,https://www.eden-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:24.228367
E60000024,South Lakeland LPA,https://www.south-lakeland-lpa.gov.uk,https://www.south-lakeland-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:25.962250
E60000025,Bolton LPA,https://www.bolton-lpa.gov.uk,https://www.bolton-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:27.685286
E60000026,Bury LPA,https://www.bury-lpa.gov.uk,https://www.bury-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:29.402769
E60000027,Manchester LPA,https://www.manchester-lpa.gov.uk,https://www.manchester-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:31.095160
E60000028,Oldham LPA,https://www.oldham-lpa.gov.uk,https://www.oldham-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:32.859405
E60000029,Rochdale LPA,https://www.rochdale-lpa.gov.uk,https://www.rochdale-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:34.532767
E60000030,Salford LPA,https://www.salford-lpa.gov.uk,https://www.salford-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:36.253903
E60000031,Stockport LPA,https://www.stockport-lpa.gov.uk,https://www.stockport-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:38.015466
E60000032,Tameside LPA,https://www.tameside-lpa.gov.uk,https://www.tameside-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:39.781396
E60000033,Trafford LPA,https://www.trafford-lpa.gov.uk,https://www.trafford-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:41.482720
E60000034,Wigan LPA,https://www.wigan-lpa.gov.uk,https://www.wigan-lpa.gov.uk,Unknown/Custom,2026-04-30T21:07:43.187155
